Município;1991;2000;2010;Total
150560 PEIXE-BOI;1,4;5,22;10,69;6,3
150563 PICARRA;...;2,26;11,46;7,22
150565 PLACAS;...;2,98;6,11;4,92
150570 PONTA DE PEDRAS;7,54;8,66;9,52;8,79
150580 PORTEL;8,46;9,24;8,5;8,75
150590 PORTO DE MOZ;12,22;15,86;5,27;9,8
150600 PRAINHA;0,38;10,02;4,11;4,73
150610 PRIMAVERA;11,24;4,68;14,28;10,62
150611 QUATIPURU;...;6,24;9,37;8
150613 REDENCAO;4,74;9,73;7,5;7,53
150616 RIO MARIA;3,78;8,05;6,84;6,06
150618 RONDON DO PARA;4,34;9,88;11,34;9,02
150619 RUROPOLIS;4,92;5,53;8,52;6,92
150620 SALINOPOLIS;6,13;10,74;5,98;7,69
150630 SALVATERRA;4,51;7,44;4,96;5,7
150635 SANTA BARBARA DO PARA;...;18,85;11,45;14,29
150640 SANTA CRUZ DO ARARI;2,77;14,67;11,22;9,63
150650 SANTA IZABEL DO PARA;2,05;16,69;10,09;10,51
150655 SANTA LUZIA DO PARA;...;18,99;7,82;13,64
150658 SANTA MARIA DAS BARREIRAS;4,71;10,85;4,44;6,47
150660 SANTA MARIA DO PARA;5,51;8,44;4,77;6,16
150670 SANTANA DO ARAGUAIA;8,63;8,82;17,71;14,02
150680 SANTAREM;4,66;13,45;8,71;9,19
150690 SANTAREM NOVO;0,78;20,81;5,6;9,84
150700 SANTO ANTONIO DO TAUA;3,7;12,05;8,27;8,43
150710 SAO CAETANO DE ODIVELAS;2,21;6,21;7,62;5,31
150715 SAO DOMINGOS DO ARAGUAIA;...;10,54;7,36;8,69
150720 SAO DOMINGOS DO CAPIM;3,97;4,58;4,07;4,19
150730 SAO FELIX DO XINGU;3,63;4,06;7,97;6,6
150740 SAO FRANCISCO DO PARA;4,38;10,45;6,05;7,19
150745 SAO GERALDO DO ARAGUAIA;0,98;9,7;7,39;5,8
150746 SAO JOAO DA PONTA;...;9,57;2,28;4,78
150747 SAO JOAO DE PIRABAS;8,37;14,02;9,5;10,66
150750 SAO JOAO DO ARAGUAIA;2,49;4,87;4,73;3,87
150760 SAO MIGUEL DO GUAMA;4,74;9,41;5,44;6,61
150770 SAO SEBASTIAO DA BOA VISTA;5,93;19,12;4,32;9,64
150775 SAPUCAIA;...;8,29;4,92;6,27
150780 SENADOR JOSE PORFIRIO;2,32;5,69;5,05;4,09
150790 SOURE;10,09;13,95;10,23;11,42
150795 TAILANDIA;1,19;15,01;17,62;14,9
150796 TERRA ALTA;...;10,45;10,5;10,48
150797 TERRA SANTA;...;18,61;5,75;11,3
150800 TOME-ACU;7,19;6,76;7,52;7,21
150803 TRACUATEUA;...;11,33;11,5;11,43
150805 TRAIRAO;...;2,07;4,79;3,68
150808 TUCUMA;4,02;5,79;6,86;5,83
150810 TUCURUI;5,95;16,74;9,35;10,74
150812 ULIANOPOLIS;...;3,66;13,6;10,65
150815 URUARA;3,49;6,75;5,92;5,79
150820 VIGIA;5,7;11,65;8,98;9,08
150830 VISEU;1,91;9,73;6,59;5,92
150835 VITORIA DO XINGU;...;5,7;7,81;7,08
150840 XINGUARA;2,93;8,61;7,73;6,37
160005 SERRA DO NAVIO;...;21,8;16,72;18,72
160010 AMAPA;3,4;6,91;14,89;9,35
160015 PEDRA BRANCA DO AMAPARI;...;24,51;8,28;11,41
160020 CALCOENE;9,06;21,67;11,16;13,83
160021 CUTIAS;...;4,1;10,06;8,07
160023 FERREIRA GOMES;33,33;29,78;12,99;20,44
160025 ITAUBAL;...;8,12;19,08;14,67
160027 LARANJAL DO JARI;18,1;18,47;10,79;14,67
160030 MACAPA;7,64;18,74;11,35;13,11
160040 MAZAGAO;2,09;26,79;5,73;10,79
160050 OIAPOQUE;6,79;11,98;7,84;8,97
160053 PORTO GRANDE;...;15,47;13,43;14,05
160055 PRACUUBA;...;18,28;5,47;10,6
160060 SANTANA;9,22;22,02;13,76;15,73
160070 TARTARUGALZINHO;26,62;21,24;9,23;15,13
160080 VITORIA DO JARI;...;17,42;18,8;18,35
170025 ABREULANDIA;...;26,34;7,19;16,03
170030 AGUIARNOPOLIS;...;27,18;7,28;13,49
170035 ALIANCA DO TOCANTINS;4,2;14,34;14,34;11,1
170040 ALMAS;2,15;18,83;11,61;11,57
170070 ALVORADA;9,23;13,41;3,36;8,5
170100 ANANAS;2,99;11,76;5,42;7,19
170105 ANGICO;...;8,9;4,82;6,58
170110 APARECIDA DO RIO NEGRO;12,61;7,19;4,92;7,49
170130 ARAGOMINAS;...;12,34;6,42;8,94
170190 ARAGUACEMA;5,12;7,58;7,97;7,01
170200 ARAGUACU;5,58;12,91;10,32;9,43
170210 ARAGUAINA;3,42;16,66;6,59;8,94
170215 ARAGUANA;...;14,4;7,31;9,64
170220 ARAGUATINS;1,93;12,35;6,87;7,32
170230 ARAPOEMA;3,31;9,29;5,18;5,3
170240 ARRAIAS;2,87;11,15;9,72;7,98
170255 AUGUSTINOPOLIS;1,8;15,21;7,13;8,9
170270 AURORA DO TOCANTINS;5,32;10,38;2,24;5,76
170290 AXIXA DO TOCANTINS;10,41;16,36;6,29;10,86
170300 BABACULANDIA;4,03;3,4;4,89;4,17
170305 BANDEIRANTES DO TOCANTINS;...;27,06;5,59;17,2
170307 BARRA DO OURO;...;13,77;15,74;15,06
170310 BARROLANDIA;5,09;10,15;10,23;8,46
170320 BERNARDO SAYAO;1,51;9,4;6,06;6
170330 BOM JESUS DO TOCANTINS;...;3,57;6,98;5,93
170360 BRASILANDIA DO TOCANTINS;...;4,44;3,96;4,19
170370 BREJINHO DE NAZARE;3,46;12,01;8,17;7,49
170380 BURITI DO TOCANTINS;4,84;5,06;13,52;8,53
170382 CACHOEIRINHA;...;0,61;4,52;2,75
170384 CAMPOS LINDOS;...;58,04;17,44;32,68
170386 CARIRI DO TOCANTINS;...;10,82;7,5;8,96
170388 CARMOLANDIA;...;15,38;8,79;11,42
170389 CARRASCO BONITO;...;6,52;11,29;9,44
170390 CASEARA;2,42;4,12;4,29;3,86
170410 CENTENARIO;...;9,59;13,09;11,45
170460 CHAPADA DE AREIA;...;22,93;7,17;13,1
170510 CHAPADA DA NATIVIDADE;...;5,71;10,76;8,39
170550 COLINAS DO TOCANTINS;3;9,14;7,33;6,87
170555 COMBINADO;0,79;14,53;9,58;8,42
170560 CONCEICAO DO TOCANTINS;7,22;7,76;7,88;7,64
170600 COUTO MAGALHAES;1,59;7,2;10,74;6,35
170610 CRISTALANDIA;14,35;17,71;7;13,31
170625 CRIXAS DO TOCANTINS;...;9,93;5,02;7,29
170650 DARCINOPOLIS;...;8,4;7,14;7,66
170700 DIANOPOLIS;2;13,5;8,91;8,5
170710 DIVINOPOLIS DO TOCANTINS;8,59;5,99;6,4;6,91
170720 DOIS IRMAOS DO TOCANTINS;2,37;10,56;1,98;5,45
170730 DUERE;1,26;5,68;5,45;4,3
170740 ESPERANTINA;...;5,81;18,52;12,34
170755 FATIMA;5,97;19,5;11,03;11,61
170765 FIGUEIROPOLIS;2,08;17,36;10,6;9,99
170770 FILADELFIA;8,7;10,02;7,42;8,63
170820 FORMOSO DO ARAGUAIA;4,37;13,72;8,27;9,32
170825 FORTALEZA DO TABOCAO;...;20,48;7,15;13,29
170830 GOIANORTE;2,12;7,05;6,49;5,43
170900 GOIATINS;2,43;22,75;6,59;8,69
170930 GUARAI;2,52;14,21;5,7;7,56
170950 GURUPI;2,57;14,78;6,48;8,29
170980 IPUEIRAS;...;19,03;4,39;10,89
171050 ITACAJA;5,31;9,99;6,82;6,98
171070 ITAGUATINS;3,09;8,33;6,14;5,67
171090 ITAPIRATINS;...;19,13;5,41;8,65
171110 ITAPORA DO TOCANTINS;0,44;11,44;6,31;5,57
171150 JAU DO TOCANTINS;...;1,6;2,69;2,15
171180 JUARINA;...;11,6;2,22;6,97
171190 LAGOA DA CONFUSAO;...;18;4,62;9,48
171195 LAGOA DO TOCANTINS;...;30,84;6,54;12,95
171200 LAJEADO;...;18,13;8,42;12,57
171215 LAVANDEIRA;...;40;7,16;16,05
171240 LIZARDA;3,71;8,46;4,8;5,67
171245 LUZINOPOLIS;...;10;9,59;9,74
171250 MARIANOPOLIS DO TOCANTINS;4,76;13,08;5,65;8,18
171270 MATEIROS;...;39,56;9,11;16,49
171280 MAURILANDIA DO TOCANTINS;...;15,18;3,88;10,63
171320 MIRACEMA DO TOCANTINS;8,83;12,45;6,13;9,22
171330 MIRANORTE;3,42;8,74;6,15;6,26
171360 MONTE DO CARMO;4,94;19,46;4,12;9,06
171370 MONTE SANTO DO TOCANTINS;...;14,24;6,61;10,94
171380 PALMEIRAS DO TOCANTINS;...;8,43;7,81;8,05
